业务模块,功能模块,功能项,功能点,KANO类型,X,Y
基础公共服务,权限管理,角色管理,用户配置,魅力,,
基础公共服务,权限管理,部门/用户组管理,用户配置,魅力,,
基础公共服务,权限管理,用户管理,用户配置,基本,,
基础公共服务,日志管理,操作日志,售后维护,基本,,
基础公共服务,日志管理,联动日志,售后维护,基本,,
基础公共服务,系统工具,系统工具,售后维护,期望,,
基础公共服务,系统配置,监控配置,售后维护,基本,,
基础公共服务,系统配置,在线配置,售后维护,基本,,
基础公共服务,系统配置,集中批量配置,售后维护,基本,,
基础公共服务,系统维护,升级,售后维护,基本,,
基础公共服务,系统维护,备份和还原,售后维护,基本,,
基础公共服务,系统维护,系统运行记录,售后维护,基本,,
基础公共服务,系统维护,时间同步,售后维护,基本,,
基础公共服务,系统维护,设备调测,售后维护,期望,,
基础公共服务,系统维护,看门狗,售后维护,期望,,
基础公共服务,系统维护,远程维护,售后维护,期望,,
基础公共服务,系统自诊断,系统自恢复,售后维护,基本,,
基础公共服务,安全管理,账户密码安全,动环面客,基本,,
基础公共服务,安全管理,系统安全,动环面客,基本,,
基础公共服务,系统自监控,系统自监控,动环面客,基本,,
基础公共服务,多语言,多语言,动环面客,魅力,,
基础公共服务,系统换肤,登录页配置,用户配置,魅力,,
基础公共服务,系统换肤,系统换肤,用户配置,魅力,,
数据管理,数据采集,实时数据采集,动环面客,基本,,
数据管理,数据采集,实时曲线,动环面客,期望,,
数据管理,数据采集,设备接入,工程施工,基本,,
数据管理,数据处理,计算和策略运算,工程施工,基本,,
数据管理,数据处理,历史曲线,动环面客,魅力,,
数据管理,数据处理,数据存储策略,用户配置,基本,,
数据管理,数据处理,数据过时清理,售后维护,基本,,
数据管理,数据传输,数据缓存/续传,动环面客,基本,,
数据管理,数据传输,网络方式,动环面客,基本,,
数据管理,数据传输,主动上报,动环面客,基本,,
数据管理,数据发布,标准北向接口,工程施工,基本,,
数据管理,数据发布,北向接口定制,工程施工,魅力,,
联动控制,控制策略,控制策略自定义,工程施工,基本,,
联动控制,控制策略,定时控制,工程施工,基本,,
联动控制,远程控制,远程控制,售后维护,魅力,,
告警管理,告警生命周期,告警过滤,动环面客,期望,,
告警管理,告警生命周期,告警生成和恢复,动环面客,基本,,
告警管理,告警生命周期,告警分级,动环面客,期望,,
告警管理,告警生命周期,告警配置,用户配置,期望,,
告警管理,告警生命周期,告警查询,动环面客,期望,,
告警管理,告警生命周期,告警屏蔽,用户配置,期望,,
告警管理,告警生命周期,告警受理,动环面客,基本,,
告警管理,告警生命周期,告警确认,动环面客,基本,,
告警管理,告警告知策略,告警/事件发送策略,用户配置,魅力,,
告警管理,告警告知策略,APP查询,动环面客,魅力,,
告警管理,告警告知策略,定时报平安,动环面客,魅力,,
告警管理,告警告知策略,信息模板,用户配置,魅力,,
告警管理,告警告知策略,风暴预警,动环面客,魅力,,
告警管理,告警告知方式,短信告警,动环面客,基本,,
告警管理,告警告知方式,电话语音告警,动环面客,基本,,
告警管理,告警告知方式,邮件告警,动环面客,基本,,
告警管理,告警告知方式,界面告警,动环面客,基本,,
告警管理,告警告知方式,声光告警,动环面客,基本,,
告警管理,告警告知方式,桌面语音告警,动环面客,基本,,
告警管理,告警告知方式,微信告警,动环面客,基本,,
告警管理,告警告知方式,popo告警,动环面客,基本,,
告警管理,告警告知记录,告警告知记录跟踪,动环面客,期望,,
移动APP,数据管理,数据展示,动环面客,魅力,,
移动APP,数据管理,实时数据曲线,动环面客,魅力,,
移动APP,数据管理,历史数据曲线,动环面客,魅力,,
移动APP,设备控制,远程控制设备,动环面客,魅力,,
移动APP,告警/事件告知,接收实时告警推送,动环面客,魅力,,
移动APP,告警/事件告知,历史告警,动环面客,魅力,,
移动APP,告警/事件告知,告警处理,动环面客,魅力,,
移动APP,告警/事件告知,查看告警设备详情,动环面客,魅力,,
移动APP,设备查询,设备查询,动环面客,魅力,,
移动APP,设备查询,关注设备,动环面客,魅力,,
报表报告,查询报表,事件查询,动环面客,基本,,
